doc_id,class,file_name,split
receipt_0010,receipt,receipt_0010.md,train
receipt_0011,receipt,receipt_0011.html,train
receipt_0012,receipt,receipt_0012.txt,validation
receipt_0013,receipt,receipt_0013.md,test
receipt_0014,receipt,receipt_0014.html,train
receipt_0015,receipt,receipt_0015.txt,test
receipt_0016,receipt,receipt_0016.md,train
receipt_0017,receipt,receipt_0017.html,train
receipt_0018,receipt,receipt_0018.txt,train
receipt_0019,receipt,receipt_0019.md,train
receipt_0020,receipt,receipt_0020.html,train
receipt_0021,receipt,receipt_0021.txt,train
receipt_0022,receipt,receipt_0022.md,validation
receipt_0023,receipt,receipt_0023.html,train
receipt_0024,receipt,receipt_0024.txt,train
receipt_0025,receipt,receipt_0025.md,train
receipt_0026,receipt,receipt_0026.html,validation
receipt_0027,receipt,receipt_0027.txt,validation
receipt_0028,receipt,receipt_0028.md,train
receipt_0029,receipt,receipt_0029.html,train
receipt_0030,receipt,receipt_0030.txt,test
receipt_0031,receipt,receipt_0031.md,train
receipt_0032,receipt,receipt_0032.html,train
receipt_0033,receipt,receipt_0033.txt,train
receipt_0034,receipt,receipt_0034.md,test
receipt_0035,receipt,receipt_0035.html,train
receipt_0036,receipt,receipt_0036.txt,test
receipt_0037,receipt,receipt_0037.md,train
receipt_0038,receipt,receipt_0038.html,train
receipt_0039,receipt,receipt_0039.txt,train
receipt_0040,receipt,receipt_0040.md,train
receipt_0041,receipt,receipt_0041.html,train
receipt_0042,receipt,receipt_0042.txt,validation
receipt_0043,receipt,receipt_0043.md,train
receipt_0044,receipt,receipt_0044.html,validation
receipt_0045,receipt,receipt_0045.txt,train
receipt_0046,receipt,receipt_0046.md,test
receipt_0047,receipt,receipt_0047.html,validation
receipt_0048,receipt,receipt_0048.txt,train
receipt_0049,receipt,receipt_0049.md,train
receipt_0050,receipt,receipt_0050.html,test
receipt_0051,receipt,receipt_0051.txt,train
receipt_0052,receipt,receipt_0052.md,train
receipt_0053,receipt,receipt_0053.html,validation
receipt_0054,receipt,receipt_0054.txt,train
receipt_0055,receipt,receipt_0055.md,test
receipt_0056,receipt,receipt_0056.html,train
receipt_0057,receipt,receipt_0057.txt,train
receipt_0058,receipt,receipt_0058.md,train
receipt_0059,receipt,receipt_0059.html,train
report_0000,report,report_0000.txt,train
report_0001,report,report_0001.md,train
report_0002,report,report_0002.html,train
report_0003,report,report_0003.txt,train
report_0004,report,report_0004.md,train
report_0005,report,report_0005.html,train
report_0006,report,report_0006.txt,train
report_0007,report,report_0007.md,train
report_0008,report,report_0008.html,train
report_0009,report,report_0009.txt,validation
report_0010,report,report_0010.md,train
report_0011,report,report_0011.html,train
report_0012,report,report_0012.txt,validation
report_0013,report,report_0013.md,validation
report_0014,report,report_0014.html,train
report_0015,report,report_0015.txt,train
report_0016,report,report_0016.md,test
report_0017,report,report_0017.html,train
report_0018,report,report_0018.txt,test
report_0019,report,report_0019.md,train
report_0020,report,report_0020.html,train
report_0021,report,report_0021.txt,train
report_0022,report,report_0022.md,train
report_0023,report,report_0023.html,train
report_0024,report,report_0024.txt,test
report_0025,report,report_0025.md,train
report_0026,report,report_0026.html,train
report_0027,report,report_0027.txt,test
report_0028,report,report_0028.md,train
report_0029,report,report_0029.html,test
report_0030,report,report_0030.txt,train
report_0031,report,report_0031.md,validation
report_0032,report,report_0032.html,train
report_0033,report,report_0033.txt,train
report_0034,report,report_0034.md,train
report_0035,report,report_0035.html,validation
report_0036,report,report_0036.txt,train
report_0037,report,report_0037.md,train
report_0038,report,report_0038.html,train
report_0039,report,report_0039.txt,train
report_0040,report,report_0040.md,train
report_0041,report,report_0041.html,train
report_0042,report,report_0042.txt,validation
report_0043,report,report_0043.md,train
report_0044,report,report_0044.html,test
report_0045,report,report_0045.txt,validation
report_0046,report,report_0046.md,test
report_0047,report,report_0047.html,train
report_0048,report,report_0048.txt,train
report_0049,report,report_0049.md,train
report_0050,report,report_0050.html,test
report_0051,report,report_0051.txt,train
report_0052,report,report_0052.md,train
report_0053,report,report_0053.html,train
report_0054,report,report_0054.txt,validation
report_0055,report,report_0055.md,train
report_0056,report,report_0056.html,validation
report_0057,report,report_0057.txt,test
report_0058,report,report_0058.md,train
report_0059,report,report_0059.html,train
letter_0000,letter,letter_0000.txt,train
letter_0001,letter,letter_0001.md,test
letter_0002,letter,letter_0002.html,train
letter_0003,letter,letter_0003.txt,test
letter_0004,letter,letter_0004.md,validation
letter_0005,letter,letter_0005.html,validation
letter_0006,letter,letter_0006.txt,train
letter_0007,letter,letter_0007.md,test
letter_0008,letter,letter_0008.html,validation
letter_0009,letter,letter_0009.txt,train
letter_0010,letter,letter_0010.md,train
letter_0011,letter,letter_0011.html,train
letter_0012,letter,letter_0012.txt,train
letter_0013,letter,letter_0013.md,train
letter_0014,letter,letter_0014.html,train
letter_0015,letter,letter_0015.txt,test
letter_0016,letter,letter_0016.md,train
letter_0017,letter,letter_0017.html,train
letter_0018,letter,letter_0018.txt,train
letter_0019,letter,letter_0019.md,test
letter_0020,letter,letter_0020.html,train
letter_0021,letter,letter_0021.txt,train
letter_0022,letter,letter_0022.md,train
letter_0023,letter,letter_0023.html,test
letter_0024,letter,letter_0024.txt,train
letter_0025,letter,letter_0025.md,train
letter_0026,letter,letter_0026.html,train
letter_0027,letter,letter_0027.txt,train
letter_0028,letter,letter_0028.md,train
letter_0029,letter,letter_0029.html,train
letter_0030,letter,letter_0030.txt,train
letter_0031,letter,letter_0031.md,test
letter_0032,letter,letter_0032.html,train
letter_0033,letter,letter_0033.txt,train
letter_0034,letter,letter_0034.md,validation
letter_0035,letter,letter_0035.html,train
letter_0036,letter,letter_0036.txt,validation
letter_0037,letter,letter_0037.md,train
letter_0038,letter,letter_0038.html,train
letter_0039,letter,letter_0039.txt,train
letter_0040,letter,letter_0040.md,train
letter_0041,letter,letter_0041.html,train
letter_0042,letter,letter_0042.txt,train
letter_0043,letter,letter_0043.md,train
letter_0044,letter,letter_0044.html,train
letter_0045,letter,letter_0045.txt,train
letter_0046,letter,letter_0046.md,validation
letter_0047,letter,letter_0047.html,train
letter_0048,letter,letter_0048.txt,validation
letter_0049,letter,letter_0049.md,train
letter_0050,letter,letter_0050.html,train
letter_0051,letter,letter_0051.txt,test
letter_0052,letter,letter_0052.md,validation
letter_0053,letter,letter_0053.html,test
letter_0054,letter,letter_0054.txt,train
letter_0055,letter,letter_0055.md,train
letter_0056,letter,letter_0056.html,train
letter_0057,letter,letter_0057.txt,train
letter_0058,letter,letter_0058.md,train
letter_0059,letter,letter_0059.html,validation
form_0000,form,form_0000.txt,train
form_0001,form,form_0001.md,train
form_0002,form,form_0002.html,validation
form_0003,form,form_0003.txt,train
form_0004,form,form_0004.md,validation
form_0005,form,form_0005.html,validation
form_0006,form,form_0006.txt,validation
form_0007,form,form_0007.md,train
form_0008,form,form_0008.html,train
form_0009,form,form_0009.txt,train
form_0010,form,form_0010.md,train
form_0011,form,form_0011.html,train
form_0012,form,form_0012.txt,test
form_0013,form,form_0013.md,train
form_0014,form,form_0014.html,validation
form_0015,form,form_0015.txt,train
form_0016,form,form_0016.md,train
form_0017,form,form_0017.html,train
form_0018,form,form_0018.txt,validation
form_0019,form,form_0019.md,train
form_0020,form,form_0020.html,train
form_0021,form,form_0021.txt,train
form_0022,form,form_0022.md,train
form_0023,form,form_0023.html,test
form_0024,form,form_0024.txt,validation
form_0025,form,form_0025.md,train
form_0026,form,form_0026.html,train
form_0027,form,form_0027.txt,train
form_0028,form,form_0028.md,train
form_0029,form,form_0029.html,train
form_0030,form,form_0030.txt,train
form_0031,form,form_0031.md,train
form_0032,form,form_0032.html,train
form_0033,form,form_0033.txt,train
form_0034,form,form_0034.md,train
form_0035,form,form_0035.html,train
form_0036,form,form_0036.txt,test
form_0037,form,form_0037.md,train
form_0038,form,form_0038.html,train
form_0039,form,form_0039.txt,test
form_0040,form,form_0040.md,test
form_0041,form,form_0041.html,train
form_0042,form,form_0042.txt,validation
form_0043,form,form_0043.md,train
form_0044,form,form_0044.html,train
form_0045,form,form_0045.txt,test
form_0046,form,form_0046.md,train
form_0047,form,form_0047.html,validation
form_0048,form,form_0048.txt,train
form_0049,form,form_0049.md,train
form_0050,form,form_0050.html,train
form_0051,form,form_0051.txt,train
form_0052,form,form_0052.md,train
form_0053,form,form_0053.html,test
form_0054,form,form_0054.txt,train
form_0055,form,form_0055.md,test
form_0056,form,form_0056.html,test
form_0057,form,form_0057.txt,train
form_0058,form,form_0058.md,train
form_0059,form,form_0059.html,train
article_0000,article,article_0000.txt,train
article_0001,article,article_0001.md,test
article_0002,article,article_0002.html,validation
article_0003,article,article_0003.txt,train
article_0004,article,article_0004.md,train
article_0005,article,article_0005.html,validation
article_0006,article,article_0006.txt,validation
article_0007,article,article_0007.md,test
article_0008,article,article_0008.html,test
article_0009,article,article_0009.txt,train
article_0010,article,article_0010.md,train
article_0011,article,article_0011.html,train
article_0012,article,article_0012.txt,train
article_0013,article,article_0013.md,train
article_0014,article,article_0014.html,test
article_0015,article,article_0015.txt,test
article_0016,article,article_0016.md,train
article_0017,article,article_0017.html,test
article_0018,article,article_0018.txt,train
article_0019,article,article_0019.md,train
article_0020,article,article_0020.html,train
article_0021,article,article_0021.txt,train
article_0022,article,article_0022.md,train
article_0023,article,article_0023.html,train
article_0024,article,article_0024.txt,train
article_0025,article,article_0025.md,train
article_0026,article,article_0026.html,train
article_0027,article,article_0027.txt,validation
article_0028,article,article_0028.md,train
article_0029,article,article_0029.html,train
article_0030,article,article_0030.txt,train
article_0031,article,article_0031.md,train
article_0032,article,article_0032.html,train
article_0033,article,article_0033.txt,train
article_0034,article,article_0034.md,validation
article_0035,article,article_0035.html,train
article_0036,article,article_0036.txt,train
article_0037,article,article_0037.md,validation
article_0038,article,article_0038.html,train
article_0039,article,article_0039.txt,train
article_0040,article,article_0040.md,test
article_0041,article,article_0041.html,train
article_0042,article,article_0042.txt,train
article_0043,article,article_0043.md,validation
article_0044,article,article_0044.html,train
article_0045,article,article_0045.txt,train
article_0046,article,article_0046.md,train
article_0047,article,article_0047.html,test
article_0048,article,article_0048.txt,train
article_0049,article,article_0049.md,train
article_0050,article,article_0050.html,train
article_0051,article,article_0051.txt,validation
article_0052,article,article_0052.md,train
article_0053,article,article_0053.html,train
article_0054,article,article_0054.txt,train
article_0055,article,article_0055.md,train
article_0056,article,article_0056.html,test
article_0057,article,article_0057.txt,validation
article_0058,article,article_0058.md,train
article_0059,article,article_0059.html,train
